dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182637mil,fd43a0bb-800a-4b6e-8a8c-1efa0738bb93,3,3,608379,460075,7,Pop Out,X,33,3.47,1.59,-5.61,11.06,FF,0,0,R,1,1,R,gid_2019_03_31_slnmlb_milmlb_1/,"In play, out(s)",206.861,1.37234,1,sln,0.07275617,-136.2767783,0.293261263,-5.107497003,11.48283772,-5.61,11.06,-1.038122522,55,6.706248346,1.32255473,-139.7679517,-5.368439385,-9.89800042,32.12400023,-9.925999657,95.37,-1.306065551,3.74668771,-1.21,3.82,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182710mil,0474ed62-68e1-4593-87ab-102b74979955,4,1,608379,543768,8,,S,35,3.55,1.63,1.12,7.57,FC,23,0,L,0,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Called Strike,171.599,-0.895833,1,sln,0.077281008,-128.3617919,0.310663031,1.645714386,8.073960587,1.12,7.57,-1.02425639,55,6.803731917,3.278481942,-131.4578626,-8.208682231,2.841999948,26.81400076,-18.23600008,89.83,0.630815297,1.650138461,0.74,1.73,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182724mil,072d287c-46e3-44c8-91aa-e76484bda06a,4,2,608379,543768,8,,B,35,3.55,1.63,6.01,-7.47,CU,24,0,L,1,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,38.8088,-2.27083,1,sln,0.091326984,-108.4293252,0.370645797,6.727690429,-6.649385046,6.01,-7.47,-1.102469413,55,6.726396534,2.159640372,-111.6160319,-2.413586181,8.162,23.37400023,-40.24600031,76.13,1.041346574,0.330613638,1.15,0.41,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182737mil,bfd093ab-e9f7-4ce8-b129-5ade64c3530f,4,3,608379,543768,8,,B,35,3.55,1.63,-7.27,6.39,CH,20,0,L,1,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,228.662,-1.13542,1,sln,0.082112977,-120.6328632,0.332697827,-6.620018636,6.975326133,-7.27,6.39,-1.035411699,55,6.934941077,1.150558603,-124.0685604,-7.167438231,-9.968000114,28.02399985,-21.67600061,84.74,-1.544713088,1.425025203,-1.44,1.5,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182744mil,c65cc122-4d2c-4822-8ae9-deb95ffde352,4,4,608379,543768,8,,B,35,3.55,1.63,-8.17,5.37,CH,,0,L,1,2,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,236.708,0.697917,1,sln,0.081670311,-121.3130358,0.330511948,-7.536121231,5.953260121,-8.17,5.37,-0.948044779,55,6.885153823,2.740137803,-124.6891039,-2.964696523,-11.49799985,27.68399969,-23.09600069,85.06,-0.88517546,3.179651615,-0.78,3.26,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182749mil,c65cc122-4d2c-4822-8ae9-deb95ffde352,7,4,608379,543768,8,Walk,B,35,3.55,1.63,-8.17,5.42,CH,5,0,L,1,2,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,236.451,0.708333,1,sln,0.081689815,-121.2945588,0.330434964,-7.532610952,6.002896966,-8.17,5.42,-0.948085011,55,6.885665239,2.740306618,-124.6386376,-2.977580974,-11.49799985,27.41399924,-23.01600076,85.03,-0.885033955,3.183095177,-0.78,3.27,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182807mil,65a8a37c-c00a-4b07-b833-edd97d233243,7,5,608379,543768,8,Walk,S,35,3.55,1.63,0.42,7.71,FC,12,0,L,1,3,R,gid_2019_03_31_slnmlb_milmlb_1/,Foul,176.944,-0.0833333,1,sln,0.077052026,-128.7108779,0.31016175,0.941993461,8.215314636,0.42,7.71,-1.066214038,55,6.773635409,1.524891685,-131.9125093,-6.402036273,1.632000029,27.81400076,-17.94599916,90.05,-0.270151343,2.428267121,-0.16,2.51,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182826mil,0d09ccd6-48f7-48b4-8abf-2a9378a109c7,7,6,608379,543768,8,Walk,S,35,3.55,1.63,-5.15,9.93,FF,7,0,L,2,3,R,gid_2019_03_31_slnmlb_milmlb_1/,Foul,207.373,0.5,1,sln,0.073897555,-134.1909552,0.297633771,-4.639064595,10.38208588,-5.15,9.93,-0.692109937,55,6.868080054,2.765510413,-137.5715539,-6.923510357,-8.728000343,30.62400023,-12.64599992,93.94,-0.290247805,2.990474857,-0.18,3.07,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182845mil,fee00437-66d3-4dc0-9cd8-44fa37ade457,7,7,608379,543768,8,Walk,B,35,3.55,1.63,-2.7,12.46,FF,4,0,L,2,3,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,192.2,1.1875,1,sln,0.074917522,-132.3262424,0.302207544,-2.19080956,12.91744767,-2.7,12.46,-0.544959319,55,6.842063107,4.074851311,-135.7731728,-5.926739044,-3.997999847,30.80400053,-8.605999962,92.7,0.799659248,3.649892759,0.9,3.73,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182923mil,1a605b53-40c8-4625-9e11-7b094982c64e,2,1,608379,542583,9,,B,37,3.49,1.6,-2.13,12.4,FF,0,0,R,0,0,R,gid_2019_03_31_slnmlb_milmlb_1/,Ball,189.712,1.47619,1,sln,0.074172535,-133.6275796,0.299539367,-1.630102617,12.84647887,-2.13,12.4,-0.911114712,55,6.659265523,0.167832255,-137.1916543,-5.100614073,-3.028000057,32.17399947,-8.316,93.6,-1.097141669,3.866401131,-0.99,3.94,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182937mil,86da0b8d-80bf-4192-938e-8b0c86a370dd,2,2,608379,542583,9,,S,37,3.49,1.6,-2.97,11.51,FF,,0,R,0,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Foul,194.402,1.06349,1,sln,0.07501702,-132.1521717,0.302591075,-2.449083158,11.9723803,-2.97,11.51,-0.931779011,55,6.757804514,3.182083939,-135.5902521,-5.770396524,-4.457999886,30.68399969,-10.38599969,92.56,0.004411628,3.472390673,0.11,3.55,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_182943mil,86da0b8d-80bf-4192-938e-8b0c86a370dd,3,2,608379,542583,9,Groundout,S,37,3.49,1.6,-2.97,11.51,FF,7,0,R,0,1,R,gid_2019_03_31_slnmlb_milmlb_1/,Foul,194.409,1.06349,1,sln,0.075017233,-132.151415,0.302596665,-2.449173644,11.96732863,-2.97,11.51,-0.93177885,55,6.757797366,3.182083714,-135.5906209,-5.770026731,-4.457999886,30.69399992,-10.39599992,92.56,0.004419367,3.471619232,0.11,3.55,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2019,190331_183014mil,03640cfe-7bfd-438f-a79d-d23f1647d7b5,3,3,608379,542583,9,Groundout,X,37,3.37,1.53,-6.48,9.91,FF,10,0,R,1,1,R,gid_2019_03_31_slnmlb_milmlb_1/,"In play, out(s)",213.152,0.152174,1,sln,0.07351104,-134.9039773,0.295988786,-5.970402987,10.35700354,-6.48,9.91,-1.071145253,55,6.621214953,2.799352204,-138.2801615,-7.60205861,-11.35800046,30.74399916,-12.47599985,94.44,-0.870353704,2.509037872,-0.76,2.59,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
