dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
6/2/2019,190602_203105oak,075365b7-bfce-4060-b1a9-3460ed5533cc,7,1,543037,656305,7,Pop Out,S,39,3.46,1.65,-8.43,10.68,FF,,0,R,0,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Called Strike,218.238,-2.8232,1,hou,0.07366581,-134.6533642,0.296223171,-7.777822075,10.76143533,-8.43,10.68,-1.729616283,55,5.911669383,8.693654094,-137.9247928,-3.953766387,-14.77300008,29.72399916,-11.73899977,94.26,0.583202288,3.336487248,0,0,0,0
6/2/2019,190602_203109oak,add9a691-2afb-4dc5-946a-84cd14693098,7,2,543037,656305,7,Pop Out,B,39,3.46,1.65,2.7,3.72,SL,,0,R,1,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,144.046,-2.8232,1,hou,0.079463683,-124.8942985,0.318640087,3.385263358,3.85616634,2.7,3.72,-2.015035807,55,5.861107538,5.287671575,-127.7317728,-4.865420903,5.556999847,23.89399924,-25.84900038,87.23,0.829292437,1.260437482,0,0,0,1
6/2/2019,190602_203113oak,a7d61ca4-ce15-49d5-9149-98725a0d267d,7,3,543037,656305,7,Pop Out,S,39,3.46,1.65,1.79,2.17,SL,,0,R,1,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,140.579,-2.8232,1,hou,0.078928473,-125.8609807,0.31490029,2.461403945,2.314445025,1.79,2.17,-2.164296717,55,5.891647561,4.814331208,-128.3608448,-4.095502512,4.13700001,21.18400015,-28.28900092,87.62,0.307499996,1.467914732,0,0,0,11
6/2/2019,190602_203135oak,4bb2cba8-e8da-49ab-9004-cecaeee5473c,7,4,543037,656305,7,Pop Out,S,39,3.46,1.65,-6.57,10.62,FF,,0,R,2,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,211.724,-2.8232,1,hou,0.071623536,-138.5648261,0.28721099,-5.970472306,10.69072385,-6.57,10.62,-1.903534844,55,5.905875805,7.853177836,-141.7153169,-5.626374223,-12.06300004,29.43400015,-10.57899992,96.85,0.255068018,2.865571461,0,0,0,12
6/2/2019,190602_203141oak,c5438879-4101-4201-b359-3df0589e0720,7,5,543037,656305,7,Pop Out,S,39,3.46,1.65,-9.38,11.11,FF,,0,R,2,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,220.135,-2.8232,1,hou,0.072145309,-137.4453031,0.290631617,-8.743827482,11.18001736,-9.38,11.11,-1.859119402,55,5.900733329,9.180651922,-140.9224303,-7.980502392,-17.25299962,32.26400008,-10.11899989,96.44,0.42923248,1.918242881,0,0,0,12
6/2/2019,190602_203147oak,7018defa-4b5a-4991-b065-2684cc39cb4b,7,6,543037,656305,7,Pop Out,B,39,3.46,1.65,2.76,0.1,SL,,0,R,2,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball In Dirt,92.0744,-2.8232,1,hou,0.07931209,-125.145365,0.31786492,3.441560137,0.254617048,2.76,0.1,-1.945170384,55,5.858582226,6.573350243,-127.9514845,-5.71542422,5.67700021,23.67399992,-31.75899832,87.44,1.463961464,0.340322143,0,0,0,12
6/2/2019,190602_203157oak,de026c11-bd92-4b82-8c28-8393e2ca596c,7,7,543037,656305,7,Pop Out,X,39,3.46,1.65,-9.38,10.91,FF,,0,R,2,2,R,gid_2019_06_02_houmlb_oakmlb_1/,"In play, out(s)",220.653,-2.8232,1,hou,0.071789267,-138.1901719,0.28848642,-8.755042117,10.98062947,-9.38,10.91,-2.120211475,55,5.789237074,6.997959274,-141.4964438,-5.999558947,-17.53300031,30.82399954,-10.18899958,96.68,-0.723761553,2.617053528,0,0,0,22
6/2/2019,190602_202838oak,7c027cfd-4159-4c13-93c5-d883fd1e85ea,1,1,543037,621566,8,Flyout,X,41,3.51,1.75,-7.35,10.07,FF,13,0,L,0,0,R,gid_2019_06_02_houmlb_oakmlb_1/,"In play, out(s)",216.093,0,1,hou,0.072892612,-136.0632351,0.293327735,-6.717921614,10.149415,-7.35,10.07,-1.996418346,55,5.910113336,9.494536351,-139.4242588,-5.610250374,-13.01299985,30.86400046,-12.51900046,95.36,0.769859145,2.640858994,0.84,2.63,0,0
6/2/2019,190602_202914oak,b147b3b2-39d9-429d-82d0-53bd5fd1172a,7,1,543037,501981,9,Walk,B,43,3.49,1.63,2.17,-0.73,SL,23,0,R,0,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,71.4158,-1.8172,1,hou,0.080522838,-123.2537406,0.322855921,2.868781742,-0.562875254,2.17,-0.73,-2.094690273,55,5.870455331,4.723374965,-126.0472316,-3.874004464,4.587000057,23.21400084,-33.07900183,86.04,0.449142266,0.90489889,0.52,0.87,0,0
6/2/2019,190602_202933oak,0c5a8473-4eee-4a63-b201-b73d5583f7bf,7,2,543037,501981,9,Walk,S,43,3.49,1.63,-6.49,10.16,FF,12,0,R,0,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,212.569,0.0430108,1,hou,0.072538687,-136.7819409,0.291275881,-5.875961997,10.23190166,-6.49,10.16,-2.14768784,55,5.764154743,7.589832778,-139.9961404,-5.477951012,-11.54299958,29.65399947,-12.07899992,95.67,-0.03619604,2.610124212,0.03,2.6,0,10
