dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
5/8/2019,190508_023725lan,7b3c807b-c440-47fd-bb22-394b196fea4c,4,2,547943,660670,11,Flyout,B,3,3.51,1.64,1.99,4.21,FC,2,0,R,1,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,Ball,154.707,1.38503,2,lan,0.080328554,-123.5834717,0.32163829,2.346893704,4.121494872,1.99,4.21,2.180710334,55,6.33307716,-6.10822833,-126.2895264,0.10272679,3.781000029,22.53899977,-25.53900084,86.21,-0.148443761,3.887176281,-0.06,3.87,0,1
5/8/2019,190508_023743lan,ff3d5eee-2e09-491d-b2c5-e31ba379e066,4,3,547943,660670,11,Flyout,S,4,3.51,1.64,7.25,8.73,FF,7,0,R,1,1,L,gid_2019_05_07_atlmlb_lanmlb_1/,Swinging Strike,140.302,0.475936,2,lan,0.07736265,-128.1786906,0.311613755,7.609584084,8.669368161,7.25,8.73,2.236979824,55,6.233311426,-7.996973685,-131.413267,-3.761120352,13.061,27.98900053,-17.29899916,89.8,0.012543597,3.048285566,0.11,3.02,0,11
5/8/2019,190508_023828lan,ed0b67a3-5ebd-4a16-99a3-5d9a07cdcdd6,4,4,547943,660670,11,Flyout,X,5,3.51,1.64,6.16,8.33,FF,7,0,R,2,1,L,gid_2019_05_07_atlmlb_lanmlb_1/,"In play, out(s)",143.545,0.593583,2,lan,0.076959466,-128.873067,0.309693575,6.503280813,8.263615331,6.16,8.33,2.272906848,55,6.254240311,-7.367596877,-132.0565688,-3.534627719,11.30099977,27.68899939,-17.81899962,90.21,0.163161239,3.146472657,0.25,3.13,0,12
5/8/2019,190508_023905lan,2ae38e0d-20ce-4a81-b4c7-d26b25bd816a,1,1,547943,455976,12,Groundout,X,8,3.49,1.67,10.2,6.51,FT,23,0,L,0,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,"In play, out(s)",122.571,-0.912088,2,lan,0.076569674,-129.5560186,0.307781304,10.56099448,6.445383655,10.2,6.51,2.487479239,55,6.005049591,-8.980974739,-132.6756644,-5.633598353,18.58100046,27.26899931,-20.83900008,90.75,0.351791111,1.769510132,0.45,1.75,0,0
5/8/2019,190508_023944lan,51315816-a698-43f8-b09d-e2da298689de,3,1,547943,621020,13,Lineout,B,11,3.51,1.67,5.12,9.56,FF,15,0,R,0,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,Ball,151.849,-0.478261,2,lan,0.07742543,-128.0590641,0.312073044,5.469983538,9.501327905,5.12,9.56,2.223235571,55,6.231569264,-11.48584732,-131.3377093,-6.093456243,9.361000191,28.34899924,-15.919,89.99,-1.83324364,2.16908906,-1.74,2.15,0,0
5/8/2019,190508_024005lan,a7cecbc6-a51f-494f-89b3-11c0b51fce56,3,2,547943,621020,13,Lineout,S,12,3.51,1.67,9.25,7.41,FT,12,0,R,0,1,L,gid_2019_05_07_atlmlb_lanmlb_1/,Called Strike,128.735,-0.173913,2,lan,0.076586144,-129.479841,0.308466118,9.603244872,7.347587283,9.25,7.41,2.464640859,55,5.993124979,-9.404179196,-132.7426051,-4.291723434,16.82100023,28.51899931,-19.30899939,90.78,-0.008146954,2.451875081,0.08,2.43,0,10
5/8/2019,190508_024028lan,cc77bbdf-69a1-4db9-b551-864d85960347,3,3,547943,621020,13,Lineout,X,13,3.51,1.67,6.98,6.31,CH,17,0,R,1,1,L,gid_2019_05_07_atlmlb_lanmlb_1/,"In play, out(s)",132.166,-0.630435,2,lan,0.085770217,-115.6771777,0.344467057,7.412062992,6.229521382,6.98,6.31,2.679630379,55,5.987961698,-8.20931074,-118.4068387,-2.828870422,10.41100038,21.299,-23.42900023,80.95,-0.037513407,2.034273994,0.05,2.01,0,11
5/8/2019,190508_030005lan,c42ecf7d-da38-4ddc-b1c8-cd1f89ac2e0a,6,1,547943,452095,19,Strikeout,B,2,3.4,1.56,-6.6,-7.17,CU,23,0,R,0,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,Ball,317.411,-1.09783,3,lan,0.097699502,-101.4153347,0.395259851,-6.110793821,-7.367822284,-6.6,-7.17,2.343930317,55,6.224342164,-1.563853536,-104.2206319,2.057454266,-6.518999924,19.22900031,-40.03899893,71.08,0.543152753,1.47525145,0.63,1.47,0,0
5/8/2019,190508_030021lan,022423fa-e6d1-4b38-845f-08fe316004d9,6,2,547943,452095,19,Strikeout,S,3,3.4,1.56,9.05,3.73,CH,23,0,R,0,1,L,gid_2019_05_07_atlmlb_lanmlb_1/,Swinging Strike,112.436,-1.11957,3,lan,0.087947642,-112.8140292,0.353198375,9.514113987,3.6301987,9.05,3.73,2.702831947,55,5.96861356,-7.45048957,-115.4736991,-2.66413236,12.71099962,20.23900053,-27.32899985,78.92,0.584821477,1.468510165,0.67,1.45,0,10
5/8/2019,190508_030040lan,a723e2ae-6c4e-41a7-8d37-14ffc0569152,6,3,547943,452095,19,Strikeout,B,4,3.4,1.56,9.23,6.04,FT,14,0,R,1,1,L,gid_2019_05_07_atlmlb_lanmlb_1/,Ball,123.235,0.532609,3,lan,0.077226077,-128.4458804,0.310535867,9.587900329,5.971101618,9.23,6.04,2.435800799,55,6.103940383,-6.470240616,-131.565627,-2.648004094,16.57100023,27.03899977,-21.85900053,89.83,1.183046299,2.993493875,1.27,2.97,0,11
5/8/2019,190508_030059lan,6746a25b-2e58-423a-a72d-ba381240c59b,6,4,547943,452095,19,Strikeout,S,5,3.4,1.56,9.32,2.83,CH,23,0,R,1,2,L,gid_2019_05_07_atlmlb_lanmlb_1/,Swinging Strike,106.924,-1.1087,3,lan,0.087381379,-113.517717,0.35137863,9.779322806,2.72615012,9.32,2.83,2.630085617,55,6.00241896,-7.907892693,-116.2761458,-2.521686439,13.20100034,21.12899992,-28.49899992,79.48,0.352048333,1.477647535,0.44,1.46,0,21
5/8/2019,190508_030119lan,16d0ea2e-fc0a-493c-96ca-2954004f20e7,6,5,547943,452095,19,Strikeout,B,6,3.4,1.56,6.41,8.15,FF,15,0,R,2,2,L,gid_2019_05_07_atlmlb_lanmlb_1/,Ball,141.859,-0.586957,3,lan,0.076686483,-129.3681484,0.308129796,6.751085978,8.089226631,6.41,8.15,2.40126485,55,6.140714056,-10.7870902,-132.4548519,-6.090690637,11.85099996,26.93899939,-17.97899947,90.7,-1.099745512,1.959864473,-1.01,1.94,0,22
5/8/2019,190508_030141lan,2aca9b9d-a8f2-4fe8-9645-cb249af1605a,6,6,547943,452095,19,Strikeout,S,7,3.4,1.56,9.72,5.43,FT,14,0,R,2,3,L,gid_2019_05_07_atlmlb_lanmlb_1/,Swinging Strike,119.229,0.0543478,3,lan,0.076430757,-129.7807629,0.307359348,10.07293305,5.362104509,9.72,5.43,2.527729438,55,5.967960028,-7.929029282,-132.9380173,-3.304135504,17.77099908,27.64900038,-22.71899924,90.83,0.764240782,2.556505429,0.85,2.53,0,32
5/8/2019,190508_030216lan,2ce6b4cb-43d7-4c75-a4c4-c3f85c1c236b,2,1,547943,542255,20,Lineout,S,11,3.3,1.57,5.75,8.01,FF,11,0,L,0,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,Foul,144.375,0.0982659,3,lan,0.076894768,-129.0617224,0.308403661,6.089693099,7.949529384,5.75,8.01,2.439792858,55,6.135376732,-9.903675401,-132.0090838,-4.608235221,10.67099966,25.64900038,-18.24899992,90.31,-0.796468723,2.549605232,-0.7,2.52,0,0
5/8/2019,190508_030249lan,d1933bdf-5031-4eaf-a0dc-a65c9949ca02,2,2,547943,542255,20,Lineout,X,12,3.3,1.57,7.46,2.2,CH,18,0,L,1,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,"In play, out(s)",106.47,-0.156069,3,lan,0.086969681,-114.0411967,0.349952245,7.907176652,2.094178521,7.46,2.2,2.47597479,55,6.033793062,-7.330285707,-116.854031,-0.692044355,10.76099981,21.64900038,-29.32899985,79.83,0.197368662,2.324710133,0.29,2.3,0,1
5/8/2019,190508_030313lan,cd545b30-9356-4dcf-8e63-b8c26c5e10d8,2,1,547943,458708,21,Lineout,S,15,3.41,1.56,9.64,4.42,FT,22,0,R,0,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,Called Strike,114.621,-0.913514,3,lan,0.077081335,-128.71219,0.309629485,9.99794223,4.337178103,9.64,4.42,2.473798563,55,5.961280717,-9.330089899,-131.7630369,-4.893432476,17.38099969,26.48900053,-24.63899931,90.13,0.078619276,1.659422209,0.17,1.64,0,0
5/8/2019,190508_030332lan,75b2e075-e2a8-47ed-b93e-c305c48e7d90,2,2,547943,458708,21,Lineout,X,16,3.41,1.56,10.73,4.38,FT,17,0,R,1,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,"In play, out(s)",112.226,-0.72973,3,lan,0.077846132,-127.443071,0.312761979,11.09925064,4.302125863,10.73,4.38,2.387288909,55,6.026036885,-9.885481838,-130.4776087,-4.436091358,18.91100038,26.08900092,-24.84900031,89.27,-0.11351424,1.835218846,-0.02,1.81,0,1
5/8/2019,190508_031919lan,20d114f6-ea34-4b48-afdf-34557184aa83,2,1,547943,645277,26,Lineout,S,2,3.28,1.54,10.12,5.13,FT,9,0,R,0,0,L,gid_2019_05_07_atlmlb_lanmlb_1/,Called Strike,116.881,0.448276,4,lan,0.077995005,-127.1826731,0.313586765,10.49114444,5.050570379,10.12,5.13,2.459262325,55,6.080558882,-7.823185092,-130.2624363,-2.491849193,17.78099931,26.42899916,-23.61900076,88.99,0.739126079,2.824049426,0.83,2.8,0,0
